t,x,y,z,vx,vy,vz,CD,CL,Cside,Fx,Fy,Fz,Tx,Ty,Tz,rpm,steps,fresh
0.011254861,0.1394324,0.00013012867,1.7499363,38.88405,0.06809954,-0.03537777,1.1590947,0.4453918,0.002437299,-4.6392055,1.7733386,0.014081869,-0.00010179734,9.054369e-5,-0.0015342395,2707.5824372171037,1408,0
0.011318809,0.1419189,0.0001345085,1.7499341,38.882004,0.06888162,-0.035998676,0.94279814,0.4320606,-0.0031888217,-3.7736378,1.7212764,-0.00915091,-0.00030105055,-0.00021148362,-0.0009865306,2707.5709357856695,1416,12
0.011382758,0.14440528,0.00013893761,1.7499318,38.88034,0.06964074,-0.036629826,0.70318896,0.42274815,0.00020060147,-2.815075,1.6855307,0.0035613833,-0.00025554915,-9.030646e-5,-0.0013368424,2707.56378624721,1424,0
0.011446706,0.14689156,0.00014341477,1.7499294,38.8791,0.07038409,-0.037255373,0.5615838,0.4109908,0.0065906243,-2.2485762,1.639378,0.028613307,-0.0001516459,-3.2436084e-5,-0.0019244498,2707.5535282137685,1432,8
0.011510654,0.14937778,0.00014793882,1.749927,38.87811,0.07110709,-0.03786987,0.5483752,0.38578594,0.003742847,-2.1955037,1.5385677,0.017202565,-0.00023256385,-2.8501052e-5,-0.0018414587,2707.538918287352,1440,0
0.011574603,0.15186393,0.00015250767,1.7499247,38.87714,0.07178563,-0.0384894,0.64996415,0.36082965,-0.0029782755,-2.6014495,1.4379207,-0.009240914,0.000121609984,-0.0005536731,-0.0016875082,2707.5249300599316,1448,8
0.011638551,0.15435001,0.00015711848,1.7499222,38.87599,0.072419785,-0.039120592,0.7904503,0.3394081,-0.0015400142,-3.1628325,1.3511012,-0.0028860818,-6.3228625e-5,-0.0003139991,-0.0018746635,2707.5121852305047,1456,0
0.011702499,0.156836,0.00016176864,1.7499197,38.874596,0.073015645,-0.03974898,0.9149268,0.3257201,0.0015602029,-3.660144,1.2952977,0.010065725,-0.00013562092,0.00051823823,-0.0032410114,2707.4981970030844,1464,16
0.011766448,0.1593219,0.00016645611,1.7499171,38.872982,0.073586896,-0.040371656,0.9685897,0.308865,0.0011661709,-3.874251,1.2273525,0.008764932,-9.090073e-5,4.9637616e-5,-0.0026450944,2707.4736398927243,1472,0
0.011830396,0.1618077,0.00017117916,1.7499145,38.871273,0.07412818,-0.040994905,0.9586387,0.2897435,-0.003943911,-3.8340275,1.1508365,-0.011646463,-0.0002151795,-0.00019671062,-0.0022025283,2707.453745524838,1480,16
